,City,Cloudines,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Hasaki,75,JP,1553181035,88,35.73,140.83,65.26,4.6
1,San Andres,48,PH,1553181230,98,13.32,122.68,81.92,1.76
2,Popondetta,80,PG,1553181230,93,-8.77,148.24,69.23,0.86
3,Pisco,0,PE,1553176800,30,-13.71,-76.2,71.87,1.5
4,Ostrovnoy,64,RU,1553181230,90,68.05,39.51,25.76,4.31
5,Fairbanks,90,US,1553181005,79,64.84,-147.72,32.27,0.81
6,Atuona,76,PF,1553181160,100,-9.8,-139.03,81.29,6.21
7,Norman Wells,75,CA,1553176800,69,65.28,-126.83,34.07,1.5
8,Grindavik,75,IS,1553178600,86,63.84,-22.43,35.87,8.2
9,Klaksvik,75,FO,1553179800,86,62.23,-6.59,41.27,5.7
10,Yellowknife,75,CA,1553180566,92,62.45,-114.38,21.27,5.1
11,Busselton,0,AU,1553181225,50,-33.64,115.35,72.27,9.01
12,Berlevag,75,NO,1553176200,100,70.86,29.09,32.27,5.1
13,Puerto Ayora,0,EC,1553180507,78,-0.74,-90.35,80.87,1.5
14,Lebu,0,ET,1553181232,21,8.96,38.73,75.62,4.36
15,Hermanus,0,ZA,1553180565,65,-34.42,19.24,72.27,0.89
16,Saskylakh,32,RU,1553181232,68,71.97,114.09,1.73,5.16
17,Clonakilty,75,IE,1553181124,87,51.62,-8.87,53.28,6.2
18,Cabo San Lucas,5,MX,1553180752,96,22.89,-109.91,74.26,3.11
19,Castro,90,CL,1553176800,100,-42.48,-73.76,48.47,4.1
20,Sanchursk,88,RU,1553181232,95,56.94,47.25,33.5,1.21
21,Punta Arenas,0,CL,1553181188,71,-53.16,-70.91,52.07,6.7
22,Bambous Virieux,75,MU,1553180941,74,-20.34,57.76,84.47,4.1
23,Sesimbra,20,PT,1553181124,39,38.45,-9.1,69.28,2.6
24,Seguin,1,US,1553181224,77,29.57,-97.96,64.27,2.11
25,Camacha,20,PT,1553180820,42,33.08,-16.33,68.27,7.7
26,Ketchikan,1,US,1553176920,86,55.34,-131.65,41.27,2.1
27,Port Elizabeth,90,US,1553181200,93,39.31,-74.98,51.28,6.2
28,Dubrovka,0,RU,1553178600,49,59.85,30.93,46.67,5.0
29,Vestmannaeyjar,75,IS,1553180400,74,63.44,-20.27,37.67,7.2
30,Thompson,40,CA,1553176800,64,55.74,-97.86,34.07,3.6
31,Bluff,0,AU,1553181151,83,-23.58,149.07,72.83,3.31
32,Sitka,0,US,1553180499,75,37.17,-99.65,45.27,2.06
33,Yar-Sale,48,RU,1553181235,81,66.83,70.83,22.97,5.36
34,Cape Town,0,ZA,1553181190,53,-33.93,18.42,71.87,10.8
35,Puerto Colombia,40,CO,1553176800,78,10.99,-74.96,80.87,3.06
36,Rikitea,0,PF,1553181149,100,-23.12,-134.97,78.41,8.71
37,Russell,0,AR,1553176800,48,-33.01,-68.8,61.07,2.6
38,Butaritari,64,KI,1553181168,100,3.07,172.79,79.49,2.71
39,Ushuaia,75,AR,1553176800,100,-54.81,-68.31,46.67,1.0
40,Kapaa,90,US,1553180520,82,22.08,-159.32,71.87,3.1
41,Srednekolymsk,0,RU,1553181235,31,67.46,153.71,-20.95,1.06
42,Dehloran,0,IR,1553181236,25,32.69,47.27,64.28,2.46
43,Pangody,80,RU,1553181236,89,65.85,74.49,28.37,4.91
44,Hilo,90,US,1553180904,77,19.71,-155.08,66.27,3.1
45,Vaini,0,IN,1553181146,49,15.34,74.49,77.42,2.21
46,New Norfolk,75,AU,1553181135,82,-42.78,147.06,59.27,3.1
47,Port Alfred,0,ZA,1553181136,77,-33.59,26.89,70.27,2.24
48,Namtsy,0,RU,1553178600,75,62.72,129.66,-16.33,2.0
49,Lethem,0,GY,1553181236,41,3.38,-59.8,93.08,7.36
50,Albany,90,US,1553181238,90,42.65,-73.75,46.67,5.7
51,Airai,8,TL,1553181183,88,-8.93,125.41,68.96,0.66
52,Smithfield,40,US,1553181038,100,36.98,-76.63,61.07,3.6
53,Torbay,40,CA,1553180545,51,47.66,-52.73,41.27,7.7
54,Mahebourg,40,MU,1553181241,78,-20.41,57.7,82.67,3.6
55,La Ronge,5,CA,1553176800,72,55.1,-105.3,32.27,1.5
56,Cartagena,20,ES,1553180985,55,37.63,-1.0,64.67,9.8
57,Urusha,0,RU,1553181297,55,54.05,122.9,5.6,1.41
58,Cherskiy,12,RU,1553181298,35,68.75,161.3,-23.47,1.06
59,Guerrero Negro,0,MX,1553181192,92,27.97,-114.04,55.28,4.81
60,Acari,68,BR,1553181298,74,-6.44,-36.64,82.28,2.81
61,Chicama,20,PE,1553176800,83,-7.84,-79.15,70.07,5.1
